IPO,Listing Date,IPO_Size,Subscription,GMP,IPO Price,Estimated Price,Estimated Percentage,Listing Price,Listing Percentage,LT Price,LT Percentage
"Glenmark Life Sciences IPO (GLS,543322)",06-08-2021,1513.6,44.17,82,720,802,11.39,750,4.17,635,-11.83
"Tatva Chintan Pharma IPO (TATVA,543321)",29-07-2021,500,180.36,1110,1083,2193,102.49,2111,95,1480,36.69
"Zomato IPO (Zomato,543320)",23-07-2021,9375,38.25,22,76,98,28.95,116,52.63,113,49.01
"G R Infraprojects IPO (GRINFRA,543317)",19-07-2021,962,102.58,575,837,1412,68.7,1715,105,1059,26.5
"Clean Science and IPO (CLEAN,543318)",19-07-2021,1546.622,93.41,615,900,1515,68.33,1755,95,1344,49.36
"India Pesticides IPO (IPL,543311)",05-07-2021,800,29.04,35,296,331,11.82,350,18.24,287,-3.19
"KIMS IPO (KIMS,543307)",28-06-2021,2143.74,3.86,75,825,900,9.09,1009,22.3,1926,133.51
"Dodla Dairy IPO (DODLA,543306)",28-06-2021,520.18,45.62,80,428,508,18.69,550,28.5,783,83.04
Shyam Metalics and IPO (),24-06-2021,909,121.43,130,306,436,42.48,380,24.18,,
Sona Comstar IPO (),24-06-2021,5550,2.28,3,291,294,1.03,301,3.44,,
"Kalyan Jewellers IPO (KALYANKJIL,543278)",26-03-2021,1175,2.61,-5,87,82,-5.75,74,-15,329,278.39
"Suryoday Small Finance IPO (SURYODAY,543279)",26-03-2021,582.34,2.37,-10,305,295,-3.28,292,-4.26,159,-47.84
"Nazara Technologies IPO (NAZARA,543280)",30-03-2021,582.91,175.46,740,1101,1841,67.21,1990,80.74,803,-27.04
"Laxmi Organic IPO (LXCHEM,543277)",25-03-2021,600,106.81,40,130,170,30.77,156,19.62,266,104.5
"Craftsman Automation IPO (CRAFTSMAN,543276)",25-03-2021,823.7,3.82,30,1490,1520,2.01,1359,-8.79,5123,243.84
"Anupam Rasayan IPO (ANURAS,543275)",24-03-2021,760,44.06,60,555,615,10.81,520,-6.31,950,71.16
EaseMyTrip IPO (),19-03-2021,510,159.33,130,187,317,69.52,212,13.5,,
"MTAR Technologies IPO (MTARTECH,543270)",15-03-2021,596.41,200.79,580,575,1155,100.87,1050,82.61,2227,287.36
Heranba Industries Limited IPO (),05-03-2021,700,83.29,270,627,897,43.06,900,43.54,,
Nureca Limited IPO (),25-02-2021,100,39.93,70,400,470,17.5,615,53.75,,
RailTel IPO (),26-02-2021,819.24,42.39,10,94,104,10.64,109,15.96,,
"Stove Kraft IPO (STOVEKRAFT,543260)",05-02-2021,412.63,18.03,35,385,420,9.09,467,21.3,480,24.56
"HFFC Limited IPO (HOMEFIRST,543259)",03-02-2021,1153.72,26.66,120,518,638,23.17,612,18.18,886,71.09
"Indigo Paints IPO (INDIGOPNTS,543258)",02-02-2021,1176,117.02,750,1490,2240,50.34,2607,74.97,1482,-0.5
"IRFC IPO (IRFC,543257)",29-01-2021,4633.38,3.49,0,26,26,1,25,-3.85,76,192.69
"Antony Waste Ltd IPO (AWHCL,543254)",01-01-2021,299.99,15.04,175,315,490,55.56,430,36.51,487,54.46
"Mrs. Bectors Food IPO (BECTORFOOD,543253)",28-12-2020,540.54,198.02,215,288,503,74.65,505,75.35,1226,325.82
Burger King IPO (),14-12-2020,810,156.65,43,60,103,71.67,115,92.25,,
Gland Pharma IPO (),20-11-2020,6479.55,2.06,118,1500,1618,7.87,1710,14,,
"Likhitha Infrastructure IPO (LIKHITHA,543240)",15-10-2020,61.2,9.51,6,120,126,5,130,8.33,290,141.75
"Mazagon Dock IPO (MAZDOCK,543237)",12-10-2020,443.69,157.41,105,145,250,72.41,215,48.21,2040,1306.79
"UTI AMC IPO (UTIAMC,543238)",12-10-2020,8420.74,2.31,-14,554,540,-2.53,500,-9.75,790,42.62
"CAMS IPO (NA,543232)",01-10-2020,2242,46.99,328,1230,1558,26.67,1518,23.41,2786,126.54
"Chemcon IPO (CHEMCON,543233)",01-10-2020,284,149.3,310,340,650,91.18,731,115,264,-22.35
Angel Broking IPO (),05-10-2020,600,3.94,-5,306,301,-1.63,275,-10.13,,
"Route Mobile IPO (ROUTE,543228)",21-09-2020,600,73.3,310,350,660,88.57,717,104.86,1540,340.1
